Market,Selection,Odds,matchup,timestamp
Money Line – Game,Al Ula,1.102,Al Ula vs Al Nasr,2026-03-16 08:54:43
Money Line – Game,Al Nasr,4.62,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Ula -8.0,1.564,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Nasr +8.0,2.27,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Ula -8.5,1.609,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Nasr +8.5,2.19,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Ula -9.0,1.657,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Nasr +9.0,2.11,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Ula -9.5,1.719,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Nasr +9.5,2.03,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Ula -10.0,1.787,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Nasr +10.0,1.952,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Ula -10.5,1.833,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Nasr +10.5,1.833,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Ula -11.0,1.952,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Nasr +11.0,1.787,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Ula -11.5,2.03,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Nasr +11.5,1.719,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Ula -12.0,2.11,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Nasr +12.0,1.657,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Ula -12.5,2.19,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Nasr +12.5,1.609,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Ula -13.0,2.27,Al Ula vs Al Nasr,2026-03-16 08:54:43
Handicap – Game,Al Nasr +13.0,1.564,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Over 166,1.653,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Under 166,2.14,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Over 166.5,1.689,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Under 166.5,2.09,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Over 167,1.729,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Under 167,2.03,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Over 167.5,1.769,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Under 167.5,1.98,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Over 168,1.819,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Under 168,1.925,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Over 168.5,1.833,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Under 168.5,1.833,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Over 169,1.925,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Under 169,1.813,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Over 169.5,1.99,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Under 169.5,1.763,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Over 170,2.04,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Under 170,1.724,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Over 170.5,2.1,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Under 170.5,1.684,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Over 171,2.15,Al Ula vs Al Nasr,2026-03-16 08:54:43
Total – Game,Under 171,1.649,Al Ula vs Al Nasr,2026-03-16 08:54:43
Money Line – Game,Al Ahli,1.54,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Money Line – Game,Al-Ittihad Jeddah,2.24,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al Ahli -1.0,1.588,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al-Ittihad Jeddah +1.0,2.22,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al Ahli -1.5,1.617,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al-Ittihad Jeddah +1.5,2.17,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al Ahli -2.0,1.662,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al-Ittihad Jeddah +2.0,2.1,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al Ahli -2.5,1.719,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al-Ittihad Jeddah +2.5,2.03,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al Ahli -3.0,1.787,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al-Ittihad Jeddah +3.0,1.952,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al Ahli -3.5,1.833,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al-Ittihad Jeddah +3.5,1.833,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al Ahli -4.0,1.952,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al-Ittihad Jeddah +4.0,1.787,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al Ahli -4.5,2.03,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al-Ittihad Jeddah +4.5,1.719,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al Ahli -5.0,2.11,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al-Ittihad Jeddah +5.0,1.657,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al Ahli -5.5,2.19,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al-Ittihad Jeddah +5.5,1.609,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al Ahli -6.0,2.27,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Handicap – Game,Al-Ittihad Jeddah +6.0,1.564,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Over 167,1.653,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Under 167,2.14,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Over 167.5,1.689,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Under 167.5,2.09,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Over 168,1.729,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Under 168,2.03,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Over 168.5,1.775,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Under 168.5,1.98,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Over 169,1.819,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Under 169,1.917,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Over 169.5,1.84,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Under 169.5,1.826,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Over 170,1.925,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Under 170,1.813,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Over 170.5,1.99,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Under 170.5,1.763,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Over 171,2.04,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Under 171,1.724,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Over 171.5,2.1,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Under 171.5,1.684,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Over 172,2.15,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Total – Game,Under 172,1.649,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 08:54:43
Money Line – Game,Al Ula,1.102,Al Ula vs Al Nasr,2026-03-16 10:04:07
Money Line – Game,Al Nasr,4.62,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Ula -8.0,1.564,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Nasr +8.0,2.27,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Ula -8.5,1.609,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Nasr +8.5,2.19,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Ula -9.0,1.657,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Nasr +9.0,2.11,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Ula -9.5,1.719,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Nasr +9.5,2.03,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Ula -10.0,1.787,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Nasr +10.0,1.952,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Ula -10.5,1.833,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Nasr +10.5,1.833,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Ula -11.0,1.952,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Nasr +11.0,1.787,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Ula -11.5,2.03,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Nasr +11.5,1.719,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Ula -12.0,2.11,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Nasr +12.0,1.657,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Ula -12.5,2.19,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Nasr +12.5,1.609,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Ula -13.0,2.27,Al Ula vs Al Nasr,2026-03-16 10:04:07
Handicap – Game,Al Nasr +13.0,1.564,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Over 166,1.653,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Under 166,2.14,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Over 166.5,1.689,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Under 166.5,2.09,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Over 167,1.729,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Under 167,2.03,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Over 167.5,1.769,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Under 167.5,1.98,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Over 168,1.819,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Under 168,1.925,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Over 168.5,1.833,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Under 168.5,1.833,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Over 169,1.925,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Under 169,1.813,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Over 169.5,1.99,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Under 169.5,1.763,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Over 170,2.04,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Under 170,1.724,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Over 170.5,2.1,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Under 170.5,1.684,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Over 171,2.15,Al Ula vs Al Nasr,2026-03-16 10:04:07
Total – Game,Under 171,1.649,Al Ula vs Al Nasr,2026-03-16 10:04:07
Money Line – Game,Al Ahli,1.54,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Money Line – Game,Al-Ittihad Jeddah,2.24,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al Ahli -1.0,1.588,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al-Ittihad Jeddah +1.0,2.22,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al Ahli -1.5,1.617,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al-Ittihad Jeddah +1.5,2.17,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al Ahli -2.0,1.662,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al-Ittihad Jeddah +2.0,2.1,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al Ahli -2.5,1.719,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al-Ittihad Jeddah +2.5,2.03,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al Ahli -3.0,1.787,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al-Ittihad Jeddah +3.0,1.952,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al Ahli -3.5,1.833,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al-Ittihad Jeddah +3.5,1.833,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al Ahli -4.0,1.952,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al-Ittihad Jeddah +4.0,1.787,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al Ahli -4.5,2.03,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al-Ittihad Jeddah +4.5,1.719,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al Ahli -5.0,2.11,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al-Ittihad Jeddah +5.0,1.657,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al Ahli -5.5,2.19,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al-Ittihad Jeddah +5.5,1.609,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al Ahli -6.0,2.27,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Handicap – Game,Al-Ittihad Jeddah +6.0,1.564,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Over 167,1.653,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Under 167,2.14,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Over 167.5,1.689,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Under 167.5,2.09,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Over 168,1.729,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Under 168,2.03,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Over 168.5,1.775,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Under 168.5,1.98,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Over 169,1.819,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Under 169,1.917,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Over 169.5,1.84,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Under 169.5,1.826,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Over 170,1.925,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Under 170,1.813,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Over 170.5,1.99,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Under 170.5,1.763,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Over 171,2.04,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Under 171,1.724,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Over 171.5,2.1,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Under 171.5,1.684,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Over 172,2.15,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Total – Game,Under 172,1.649,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:04:07
Money Line – Game,Al Ula,1.102,Al Ula vs Al Nasr,2026-03-16 10:59:41
Money Line – Game,Al Nasr,4.62,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Ula -8.0,1.564,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Nasr +8.0,2.27,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Ula -8.5,1.609,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Nasr +8.5,2.19,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Ula -9.0,1.657,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Nasr +9.0,2.11,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Ula -9.5,1.719,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Nasr +9.5,2.03,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Ula -10.0,1.787,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Nasr +10.0,1.952,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Ula -10.5,1.833,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Nasr +10.5,1.833,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Ula -11.0,1.952,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Nasr +11.0,1.787,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Ula -11.5,2.03,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Nasr +11.5,1.719,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Ula -12.0,2.11,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Nasr +12.0,1.657,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Ula -12.5,2.19,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Nasr +12.5,1.609,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Ula -13.0,2.27,Al Ula vs Al Nasr,2026-03-16 10:59:41
Handicap – Game,Al Nasr +13.0,1.564,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Over 166,1.653,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Under 166,2.14,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Over 166.5,1.689,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Under 166.5,2.09,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Over 167,1.729,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Under 167,2.03,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Over 167.5,1.769,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Under 167.5,1.98,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Over 168,1.819,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Under 168,1.925,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Over 168.5,1.833,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Under 168.5,1.833,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Over 169,1.925,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Under 169,1.813,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Over 169.5,1.99,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Under 169.5,1.763,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Over 170,2.04,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Under 170,1.724,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Over 170.5,2.1,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Under 170.5,1.684,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Over 171,2.15,Al Ula vs Al Nasr,2026-03-16 10:59:41
Total – Game,Under 171,1.649,Al Ula vs Al Nasr,2026-03-16 10:59:41
Money Line – Game,Al Ahli,1.54,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Money Line – Game,Al-Ittihad Jeddah,2.24,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al Ahli -1.0,1.588,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al-Ittihad Jeddah +1.0,2.22,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al Ahli -1.5,1.617,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al-Ittihad Jeddah +1.5,2.17,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al Ahli -2.0,1.662,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al-Ittihad Jeddah +2.0,2.1,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al Ahli -2.5,1.719,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al-Ittihad Jeddah +2.5,2.03,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al Ahli -3.0,1.787,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al-Ittihad Jeddah +3.0,1.952,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al Ahli -3.5,1.833,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al-Ittihad Jeddah +3.5,1.833,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al Ahli -4.0,1.952,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al-Ittihad Jeddah +4.0,1.787,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al Ahli -4.5,2.03,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al-Ittihad Jeddah +4.5,1.719,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al Ahli -5.0,2.11,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al-Ittihad Jeddah +5.0,1.657,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al Ahli -5.5,2.19,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al-Ittihad Jeddah +5.5,1.609,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
Handicap – Game,Al Ahli -6.0,2.27,Al Ahli vs Al-Ittihad Jeddah,2026-03-16 10:59:41
